Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
02/01/2026	02/28/2026		JPA961700085	JPA961700085	3			AUD		1326597481	GOKUMON(UchikubiGokumonDoukoukai)	布団の中から出たくない	Living,Dining&kitchen Records		H3		AU				
02/01/2026	02/28/2026		JPA960720017	JPA960720017	1			AUD		216988053	極東ラヴァーズオーケストラ	桜の時	LD&K universe		H3		AU				
02/01/2026	02/28/2026		JPA960510156	JPA960510156	1			AUD		74976653	Straightener	Rocksteady	Pacific Records		H3		AU				
02/01/2026	02/28/2026		JPA960910023	JPA960910023	1			AUD		450124441	かりゆし58	オワリはじまり	Pacific Records		H3		AU				
02/01/2026	02/28/2026		JPA960510171	JPA960510171	1			AUD		74977048	Straightener	走る岩	Pacific Records		H3		AU				
02/01/2026	02/28/2026		JPA960600073	JPA960600073	1			AUD		450124439	かりゆし58	アンマー	Pacific Records		H3		AU				
02/01/2026	02/28/2026		JPA960590936	JPA960590936	1			AUD		74436072	Toki Asako	The Good Life	Living,dining&kitchen Records		H3		AU				
02/01/2026	02/28/2026		ITB060500125	ITB060500125	1			AUD		442638639	Panaphonic	Espuma Bossa (Classic Version)	Continental Music		H3		AU				
02/01/2026	02/28/2026		JPA961100210	JPA961100210	1			AUD		472597167	Youmou to Ohana	朝のプリズム	Living Records Tokyo*		H3		AU				
02/01/2026	02/28/2026		JPA961400107	JPA961400107	3			AUD		905370457	Unlimited tone	Change	living,dining&kitchen Records		H3		AU				
02/01/2026	02/28/2026		JPB600831103	JPB600831103	1			AUD		310819281	Toki Asako	小麦色のマーメイド	living dining & kitchen Records		H3		AU				
02/01/2026	02/28/2026		JPA960900119	JPA960900119	2			AUD		329434248	かりゆしゴーヤ	島人ぬ宝	living, dining & kitchen Records		H3		AU				
02/01/2026	02/28/2026		JPA960600073	JPA960600073	1			AUD		252943937	かりゆし58	アンマー	Living,Dining&Kitchen Records		H3		AU				
02/01/2026	02/28/2026		JPA960800134	JPA960800134	1			AUD		294897158	かりゆし58	ナナ	living, dining & kitchen Records		H3		AU				
02/01/2026	02/28/2026		JPA960910023	JPA960910023	1			AUD		351577819	かりゆし58	オワリはじまり	Pacific Records		S3		AU				
02/01/2026	02/28/2026		JPA961010014	JPA961010014	1			AUD		384649171	かりゆし58	全開の唄	Pacific Records		S3		AU				
02/01/2026	02/28/2026		JPA961010019	JPA961010019	1			AUD		380464451	かりゆし58	会いたくて	Pacific Records		S3		AU				
02/01/2026	02/28/2026		JPA961980052	JPA961980052	1			EUR		1492861782	Su凸ko D凹koi	あの娘をリンチ	おポンコツレコーズ		H3		IE				
02/01/2026	02/28/2026		JPA960590935	JPA960590935	1			EUR		74436013	Toki Asako	September	Living,dining&kitchen Records		H3		DE				
02/01/2026	02/28/2026		JPA960590935	JPA960590935	2			EUR		74436013	Toki Asako	September	Living,dining&kitchen Records		H3		FR				
02/01/2026	02/28/2026		JPA961000043	JPA961000043	1			EUR		979168348	Daniela Procopio	I Can't Help It	Living Records Tokyo*		H3		IT				
02/01/2026	02/28/2026		JPA960900066	JPA960900066	1			EUR		323943597	Youmou to Ohana	晴れのち晴れ	Living Records Tokyo*		H3		IT				
02/01/2026	02/28/2026		JPA960590827	JPA960590827	1			EUR		74432372	Tsuji Ayano	クローバー	Living,dining&kitchen Records		H3		FR				
02/01/2026	02/28/2026		JPA960900074	JPA960900074	1			EUR		323943662	Youmou to Ohana	Rainbow Sleeves	Living Records Tokyo*		H3		IT				
02/01/2026	02/28/2026		JPA961980048	JPA961980048	1			EUR		1492861777	Su凸ko D凹koi	ホームレスアイドル	おポンコツレコーズ		H3		IE				
02/01/2026	02/28/2026		JPA960590831	JPA960590831	1			EUR		74432681	Tsuji Ayano	時間ドロボウ	Living,dining&kitchen Records		H3		FR				
02/01/2026	02/28/2026		JPA960510003	JPA960510003	1			EUR		73378164	Toki Asako	Another Star	Pacific Records		H3		NL				
02/01/2026	02/28/2026		JPA961980049	JPA961980049	1			EUR		1492861778	Su凸ko D凹koi	顔という臓器	おポンコツレコーズ		H3		IE				
02/01/2026	02/28/2026		JPA961200021	JPA961200021	1			EUR		505950587	Toki Asako	Break out	Living Records Tokyo*		H3		DE				
02/01/2026	02/28/2026		JPA960800124	JPA960800124	1			EUR		284728591	Youmou to Ohana	揺れる	Living Records Tokyo*		H3		DE				
02/01/2026	02/28/2026		JPA960900069	JPA960900069	1			EUR		323943628	Youmou to Ohana	All You Need Is Love	Living Records Tokyo*		H3		IT				
02/01/2026	02/28/2026		JPA960900065	JPA960900065	1			EUR		323943593	Youmou to Ohana	キーラの森	Living Records Tokyo*		H3		IT				
02/01/2026	02/28/2026		JPA960800128	JPA960800128	1			EUR		284728597	Youmou to Ohana	Perfect	Living Records Tokyo*		H3		FR				
